codigo_parroquia,parroquia,canton,riesgo,riesgo_pred,prob_alto,prob_medio,prob_bajo,score
120150,BABAHOYO,BABAHOYO,alto,alto,0.87,0.13,0.00,0.87
120152,CARACOL,BABAHOYO,medio,medio,0.32,0.69,0.00,0.69
120153,FEBRES CORDERO (LAS JUNTAS),BABAHOYO,medio,medio,0.00,0.95,0.05,0.95
120154,PIMOCHA,BABAHOYO,alto,alto,0.84,0.16,0.00,0.84
120155,LA UNION,BABAHOYO,medio,medio,0.06,0.92,0.02,0.92
120250,BABA,BABA,medio,medio,0.44,0.56,0.00,0.56
120251,GUARE,BABA,alto,alto,0.72,0.28,0.00,0.72
120252,ISLA DE BEJUCAL,BABA,medio,medio,0.48,0.51,0.02,0.51
120350,MONTALVO,MONTALVO,medio,medio,0.00,0.96,0.04,0.96
120450,PUEBLOVIEJO,PUEBLOVIEJO,medio,medio,0.34,0.66,0.00,0.66
120451,PUERTO PECHICHE,PUEBLOVIEJO,medio,medio,0.07,0.92,0.02,0.92
120452,SAN JUAN,PUEBLOVIEJO,alto,medio,0.38,0.62,0.00,0.62
120550,QUEVEDO,QUEVEDO,alto,alto,0.67,0.33,0.00,0.67
120553,SAN CARLOS,QUEVEDO,medio,medio,0.16,0.83,0.02,0.83
120555,LA ESPERANZA,QUEVEDO,medio,medio,0.14,0.62,0.24,0.62
120650,CATARAMA,URDANETA,alto,alto,0.76,0.24,0.00,0.76
120651,RICAURTE,URDANETA,medio,medio,0.02,0.96,0.02,0.96
120750,VENTANAS,VENTANAS,medio,medio,0.10,0.90,0.00,0.90
120752,ZAPOTAL,VENTANAS,medio,medio,0.02,0.93,0.05,0.93
120850,VINCES,VINCES,alto,medio,0.38,0.62,0.00,0.62
120851,ANTONIO SOTOMAYOR (CAB. EN PLAYAS DE VINCES),VINCES,alto,alto,0.71,0.28,0.02,0.71
120950,PALENQUE,PALENQUE,medio,medio,0.05,0.95,0.00,0.95
121050,SAN JACINTO DE BUENA FE,BUENA FE,medio,medio,0.12,0.84,0.04,0.84
121051,PATRICIA PILAR,BUENA FE,bajo,bajo,0.03,0.36,0.61,0.61
121150,VALENCIA,VALENCIA,bajo,bajo,0.00,0.12,0.88,0.88
121250,MOCACHE,MOCACHE,medio,medio,0.07,0.93,0.00,0.93
121350,QUINSALOMA,QUINSALOMA,medio,medio,0.03,0.73,0.24,0.73
120754,LOS ANGELES,VENTANAS,medio,medio,0.01,0.91,0.07,0.91
120753,CHACARITA,VENTANAS,bajo,bajo,0.00,0.36,0.64,0.64
120351,LA ESMERALDA,MONTALVO,medio,medio,0.00,0.76,0.24,0.76
